cx: 1305.000000, cx_error: 345.000000, cx_out: 0.690016, cy: 406.000000, cy_error: -134.000000, cy_out: -0.268016, dt: 100.424377, area_speed: -0.264710, area: 296460.000000
cx: 1291.000000, cx_error: 331.000000, cx_out: 0.662016, cy: 406.000000, cy_error: -134.000000, cy_out: -0.268016, dt: 100.028870, area_speed: -0.259226, area: 317151.000000
cx: 892.000000, cx_error: -68.000000, cx_out: -0.136016, cy: 437.000000, cy_error: -103.000000, cy_out: -0.206016, dt: 99.189697, area_speed: -0.244895, area: 427875.000000
cx: 897.000000, cx_error: -63.000000, cx_out: -0.125984, cy: 425.000000, cy_error: -115.000000, cy_out: -0.229984, dt: -900.135559, area_speed: -0.247388, area: 425880.000000
cx: 777.000000, cx_error: -183.000000, cx_out: -0.365984, cy: 440.000000, cy_error: -100.000000, cy_out: -0.199984, dt: -897.981323, area_speed: -0.255585, area: 288420.000000
cx: 654.000000, cx_error: -306.000000, cx_out: -0.612016, cy: 445.000000, cy_error: -95.000000, cy_out: -0.190016, dt: 100.268555, area_speed: -0.259428, area: 641784.000000
cx: 639.000000, cx_error: -321.000000, cx_out: -0.642016, cy: 452.000000, cy_error: -88.000000, cy_out: -0.176016, dt: 100.445007, area_speed: -0.264667, area: 656304.000000
cx: 1252.000000, cx_error: 292.000000, cx_out: 0.584016, cy: 553.000000, cy_error: 13.000000, cy_out: 0.026016, dt: 100.023407, area_speed: -0.273558, area: 472440.000000
cx: 1290.000000, cx_error: 330.000000, cx_out: 0.660016, cy: 495.000000, cy_error: -45.000000, cy_out: -0.090016, dt: 97.858734, area_speed: -0.267555, area: 504900.000000
cx: 1381.000000, cx_error: 421.000000, cx_out: 0.842016, cy: 508.000000, cy_error: -32.000000, cy_out: -0.064016, dt: 100.666084, area_speed: -0.252844, area: 594297.000000
cx: 1396.000000, cx_error: 436.000000, cx_out: 0.872016, cy: 493.000000, cy_error: -47.000000, cy_out: -0.094016, dt: 97.737213, area_speed: -0.244176, area: 588903.000000
cx: 987.000000, cx_error: 27.000000, cx_out: 0.054016, cy: 490.000000, cy_error: -50.000000, cy_out: -0.100016, dt: 101.547852, area_speed: -0.227341, area: 629160.000000
